"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2017","","","","8419.694281"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2018","","","","9010.877523"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2019","","","","9720.498872"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2020","","","","9880.518986"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2021","","","","8862.861565"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2022","","","","11355.609332"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2023","","","","11739.833429"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2024","","","","10894.21154"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M01","January","M","Monthly","USM","Million US dollar","2025","","","","12157.861172"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2025","","","","10329.263014"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2024","","","","10147.194938"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2023","","","","9518.597683"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2022","","","","10934.744686"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2021","","","","8510.824476"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2020","","","","7510.983257"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2019","","","","8411.604625"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2018","","","","8177.282662"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M02","February","M","Monthly","USM","Million US dollar","2017","","","","7215.903045"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2018","","","","8578.050866"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2019","","","","9514.250357"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2020","","","","7296.130231"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2021","","","","10074.22565"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2022","","","","12846.592176"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2023","","","","12343.2023"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2024","","","","10130.422353"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2025","","","","11937.642653"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M03","March","M","Monthly","USM","Million US dollar","2017","","","","8576.163545"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2017","","","","7590.75958"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2025","","","","11344.814855"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2024","","","","11642.98421"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2023","","","","10333.925072"
