Year,Month,levels in million USD
2018,January,"2,379"
2018,February,"2,267"
2018,March,"2,360"
2018,April,"2,347"
2018,May,"2,469"
2018,June,"2,357"
2018,July,"2,401"
2018,August,"2,476"
2018,September,"2,237"
2018,October,"2,474"
2018,November,"2,326"
2018,December,"2,849"
2019,January,"2,484"
2019,February,"2,301"
2019,March,"2,514"
2019,April,"2,441"
2019,May,"2,609"
2019,June,"2,290"
2019,July,"2,581"
2019,August,"2,589"
2019,September,"2,379"
2019,October,"2,671"
2019,November,"2,372"
2019,December,"2,902"
2020,January,"2,648"
2020,February,"2,358"
2020,March,"2,397"
2020,April,"2,046"
2020,May,"2,106"
2020,June,"2,465"
2020,July,"2,783"
2020,August,"2,483"
2020,September,"2,601"
2020,October,"2,747"
2020,November,"2,379"
2020,December,"2,890"
2021,January,"2,603"
2021,February,"2,476"
2021,March,"2,514"
2021,April,"2,305"
2021,May,"2,382"
2021,June,"2,638"
2021,July,"2,853"
2021,August,"2,609"
2021,September,"2,737"
2021,October,"2,812"
2021,November,"2,502"
2021,December,"2,987"
2022,January,"2,668"
2022,February,"2,509"
2022,March,"2,594"
2022,April,"2,395"
2022,May,"2,425"
2022,June,"2,755"
2022,July,"2,917"
2022,August,"2,721"
2022,September,"2,840"
2022,October,"2,911"
2022,November,"2,644"
2022,December,"3,159"
2023,January,"2,762"
2023,February,"2,569"
2023,March,"2,671"
2023,April,"2,485"
2023,May,"2,494"
2023,June,"2,812"
2023,July,"2,992"
2023,August,"2,796"
2023,September,"2,913"
2023,October,"2,998"
2023,November,"2,719"
2023,December,"3,280"
2024,January,"2,836"
2024,February,"2,646"
2024,March,"2,738"
2024,April,"2,562"
2024,May,"2,583"
2024,June,"2,882"
2024,July,"3,085"
2024,August,"2,885"
2024,September,"3,009"
2024,October,"3,079"
2024,November,"2,808"
2024,December,"3,380"
2025,January,"2,918"
2025,February,"2,716"
2025,March,"2,810"
2025,April,"2,664"
2025,May,"2,658"
2025,June,"2,987"
2025,July,"3,179"
2025,August,"2,977"
2025,September,"3,121"
