Year,Month,,Inflation Rate,
1958 ,January,,6.3,
1958 ,February,,6.3,
1958 ,March,,5.5,
1958 ,April,,5.5,
1958 ,May,,6.3,
1958 ,June,,5.4,
1958 ,July,,3.8,
1958 ,August,,3.0,
1958 ,September,,2.3,
1958 ,October,,0.7,
1958 ,November,,0.7,
1958 ,December,,-0.7,
1959 ,January,,-2.2,
1959 ,February,,-2.2,
1959 ,March,,-1.5,
1959 ,April,,-1.5,
1959 ,May,,-2.2,
1959 ,June,,-2.2,
1959 ,July,,-0.7,
1959 ,August,,-0.7,
1959 ,September,,-0.7,
1959 ,October,,0.0,
1959 ,November,,1.5,
1959 ,December,,3.0,
1960 ,January,,4.5,
1960 ,February,,3.0,
1960 ,March,,2.3,
1960 ,April,,3.0,
1960 ,May,,4.5,
1960 ,June,,5.3,
1960 ,July,,4.4,
1960 ,August,,6.7,
1960 ,September,,7.4,
1960 ,October,,7.4,
1960 ,November,,5.8,
1960 ,December,,5.8,
1961 ,January,,4.3,
1961 ,February,,5.8,
1961 ,March,,5.9,
1961 ,April,,5.1,
1961 ,May,,4.3,
1961 ,June,,3.6,
1961 ,July,,4.3,
1961 ,August,,3.5,
1961 ,September,,4.1,
1961 ,October,,2.1,
1961 ,November,,0.7,
1961 ,December,,0.0,
1962 ,January,,0.7,
1962 ,February,,1.4,
1962 ,March,,1.4,
1962 ,April,,1.4,
1962 ,May,,1.4,
1962 ,June,,2.8,
1962 ,July,,1.4,
1962 ,August,,2.0,
1962 ,September,,0.7,
1962 ,October,,2.0,
1962 ,November,,4.1,
1962 ,December,,4.8,
1963 ,January,,4.8,
1963 ,February,,4.1,
1963 ,March,,6.2,
1963 ,April,,7.5,
1963 ,May,,6.8,
1963 ,June,,6.7,
1963 ,July,,7.4,
1963 ,August,,6.6,
1963 ,September,,10.5,
1963 ,October,,10.5,
1963 ,November,,9.8,
1963 ,December,,9.8,
1964 ,January,,9.8,
1964 ,February,,9.8,
1964 ,March,,8.4,
1964 ,April,,8.3,
1964 ,May,,8.3,
1964 ,June,,7.5,
1964 ,July,,9.4,
1964 ,August,,9.3,
1964 ,September,,4.2,
1964 ,October,,3.6,
1964 ,November,,3.6,
1964 ,December,,5.4,
1965 ,January,,4.2,
1965 ,February,,3.0,
1965 ,March,,3.0,
1965 ,April,,2.4,
1965 ,May,,1.8,
1965 ,June,,1.2,
